,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
98,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0.0,-128.79000000000002,6
99,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0.0,-128.78999999999996,4
100,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0.05,-133.81000000000003,1
101,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0.05,-133.80999999999997,1
102,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0.0,-128.43,2
103,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0.0,-128.42999999999998,1
104,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0.0,-128.03999999999996,1
105,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.05,-133.85,2
106,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.05,-149.29,3
107,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.05,-149.29000000000002,1
108,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0.0,-127.52999999999999,5
109,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0.0,-127.53000000000002,4
110,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0.0,-127.40999999999998,2
111,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0.05,-139.88000000000002,1
112,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0.0,-127.27000000000004,1
113,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0.0,-127.26999999999997,5
114,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0.0,-127.10000000000001,2
115,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0.0,-127.10000000000001,4
116,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0.05,-132.21,5
117,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0.05,-127.10000000000001,3
118,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.05,-134.53000000000003,2
119,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0.0,-125.38000000000001,3
120,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0.0,-125.38,3
121,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0.0,-125.09999999999997,4
122,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0.0,-124.94,3
123,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0.0,-124.94000000000001,1
124,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0.0,-124.83000000000001,1
125,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0.0,-124.30999999999997,3
126,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0.05,-140.74,3
127,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0.05,-140.74,1
128,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0.0,-124.07000000000001,2
129,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0.0,-124.07,17
130,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0.0,-124.02,1
131,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0.05,-140.48,1
132,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0.05,-140.48,3
133,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0.05,-148.74,1
134,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0.05,-148.73999999999998,1
135,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0.0,-123.88,1
136,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0.05,-129.06999999999996,1
137,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0.0,-123.47999999999998,1
138,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0.0,-123.23,1
139,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0.05,-139.29,1
140,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0.05,-139.29,1
141,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0.0,-122.75000000000001,2
142,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0.0,-122.75000000000003,2
143,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0.05,-144.94,1
144,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0.0,-122.61,2
145,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0.0,-122.30999999999996,1
146,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0.0,-122.15,1
147,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0.0,-121.98999999999998,1
148,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0.05,-129.84,1
149,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0.0,-121.96000000000002,1
150,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0.0,-121.73,1
151,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0,-121.55999999999997,6
152,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-121.55999999999999,2
153,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-121.37999999999998,5
154,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0,-121.37999999999997,4
155,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0.0,-120.81999999999998,1
156,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0.05,-129.84,1
157,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0.05,-148.74,1
158,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0.0,-120.43999999999998,2
159,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0,-120.34,1
160,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-120.33999999999997,1
161,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.0,-120.28999999999999,1
162,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0,-120.09999999999997,3
163,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0.0,-119.83999999999997,7
164,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0.0,-119.83999999999996,1
165,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0.0,-119.69999999999999,1
166,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.05,-138.87,1
167,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0.0,-119.64999999999999,1
168,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0,-119.54999999999998,3
169,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-119.54999999999998,1
170,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0.0,-119.39000000000001,1
171,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0,-119.36000000000001,1
172,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0.05,-140.74,3
173,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0.05,-135.51000000000002,1
174,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.05,-138.87,1
175,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0.0,-118.96999999999997,1
176,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0.05,-132.13999999999996,1
177,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0.0,-118.62999999999997,1
178,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0.0,-118.61000000000001,1
179,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0.0,-118.49999999999997,1
180,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0.05,-139.88000000000002,1
181,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-118.01999999999997,7
