distribution,n,run,qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,total
laplace,33,run_1,955760.0,20.0,198.4,15616.9,11133.1,20.54,1093.0,7781.0,983603.0
laplace,33,run_2,955760.0,20.0,198.4,17313.5,11156.5,20.54,4589.0,17333.0,988819.0
laplace,33,run_3,955760.0,20.0,198.4,16220.7,11148.3,20.54,3283.0,16035.0,986412.0
laplace,33,run_4,955760.0,20.0,198.4,14999.7,11131.3,20.54,515.0,13624.0,982406.0
laplace,33,run_5,955760.0,20.0,198.4,15806.49,11076.51,20.54,1019.0,5410.0,983662.0
laplace,34,run_1,955760.0,20.0,198.4,15815.1,11158.9,20.54,608.0,4905.0,983342.0
laplace,34,run_2,955760.0,20.0,198.4,13661.29,11062.71,20.54,1148.0,5767.0,981632.0
laplace,34,run_3,955760.0,20.0,198.4,17781.7,11165.3,20.54,1021.0,6095.0,985728.0
laplace,34,run_4,955760.0,20.0,198.4,17089.29,11052.71,20.54,656.0,5666.0,984558.0
laplace,34,run_5,955760.0,20.0,198.4,16951.5,11168.5,20.54,570.0,5089.0,984450.0
laplace,35,run_1,955760.0,20.0,198.4,13251.5,11126.5,20.54,875.0,5049.0,981013.0
laplace,35,run_2,955760.0,20.0,198.4,16055.69,11075.31,20.54,1098.0,5127.0,983989.0
laplace,35,run_3,955760.0,20.0,198.4,16397.7,11148.3,20.54,1287.0,5788.0,984593.0
laplace,35,run_4,955760.0,20.0,198.4,14868.9,11133.1,20.54,1301.0,6261.0,983063.0
laplace,35,run_5,955760.0,20.0,198.4,12562.69,11074.31,20.54,1000.0,4897.0,980397.0
laplace,36,run_1,955760.0,20.0,198.4,18969.09,11064.91,20.54,559.0,5898.0,986353.0
laplace,36,run_2,955760.0,20.0,198.4,14614.09,11077.91,20.54,1546.0,5833.0,982998.0
laplace,36,run_3,955760.0,20.0,198.4,14711.5,11158.5,20.54,1112.0,6086.0,982742.0
laplace,36,run_4,955760.0,20.0,198.4,13463.3,11148.7,20.54,1979.0,7436.0,982351.0
laplace,36,run_5,955760.0,20.0,198.4,19090.1,11154.9,20.54,506.0,6060.0,986511.0
laplace,37,run_1,955760.0,20.0,198.4,19015.7,11187.3,20.54,582.0,5689.0,986545.0
laplace,37,run_2,955760.0,20.0,198.4,16659.29,11082.71,20.54,1223.0,7152.0,984725.0
laplace,37,run_3,955760.0,20.0,198.4,14308.5,11161.5,20.54,1551.0,8071.0,982781.0
laplace,37,run_4,955760.0,20.0,198.4,20581.9,11179.1,20.54,639.0,11740.0,988160.0
laplace,37,run_5,955760.0,20.0,198.4,15522.3,11155.7,20.54,1552.0,8267.0,983990.0
laplace,38,run_1,955760.0,20.0,198.4,18601.09,11088.91,20.54,1644.0,8718.0,987094.0
laplace,38,run_2,955760.0,20.0,198.4,16618.09,11090.91,20.54,1319.0,7103.0,984788.0
laplace,38,run_3,955760.0,20.0,198.4,17479.69,11109.31,20.54,829.0,11697.0,985178.0
laplace,38,run_4,955760.0,20.0,198.4,20121.09,11093.91,20.54,985.0,7500.0,987960.0
laplace,38,run_5,955760.0,20.0,198.4,16220.5,11168.5,20.54,905.0,5988.0,984054.0
laplace,39,run_1,955760.0,20.0,198.4,19730.09,11113.91,20.54,3217.0,18330.0,989821.0
laplace,39,run_2,955760.0,20.0,198.4,16795.49,11098.51,20.54,1376.0,8080.0,985030.0
laplace,39,run_3,955760.0,20.0,198.4,18432.89,11093.11,20.54,731.0,5863.0,986017.0
laplace,39,run_4,955760.0,20.0,198.4,20603.69,11087.31,20.54,1246.0,7022.0,988697.0
laplace,39,run_5,955760.0,20.0,198.4,14382.49,11093.51,20.54,2047.0,5335.0,983283.0
laplace,4,run_1,955760.0,20.0,198.4,2148.5,10700.5,20.54,793.0,793.0,969402.0
laplace,4,run_2,955760.0,20.0,198.4,1793.9,10693.1,20.54,483.0,483.0,968730.0
laplace,4,run_3,955760.0,20.0,198.4,2428.09,10696.91,20.54,1437.0,1437.0,970322.0
laplace,4,run_4,955760.0,20.0,198.4,3042.1,10774.9,20.54,416.0,416.0,969993.0
laplace,4,run_5,955760.0,20.0,198.4,1977.29,10699.71,20.54,466.0,466.0,968903.0
laplace,40,run_1,955760.0,20.0,198.4,15211.89,11103.11,20.54,1638.0,9149.0,983713.0
laplace,40,run_2,955760.0,20.0,198.4,20117.7,11210.3,20.54,1276.0,6240.0,988364.0
laplace,40,run_3,955760.0,20.0,198.4,22593.29,11100.71,20.54,4709.0,10807.0,994163.0
laplace,40,run_4,955760.0,20.0,198.4,18470.09,11123.91,20.54,785.0,6853.0,986139.0
laplace,40,run_5,955760.0,20.0,198.4,16038.3,11184.7,20.54,982.0,12356.0,983965.0
laplace,41,run_1,955760.0,20.0,198.4,19392.3,11211.7,20.54,888.0,7760.0,987252.0
laplace,41,run_2,955760.0,20.0,198.4,21542.29,11114.71,20.54,3244.0,22312.0,991661.0
laplace,41,run_3,955760.0,20.0,198.4,17796.7,11196.3,20.54,868.0,13058.0,985621.0
laplace,41,run_4,955760.0,20.0,198.4,18159.9,11182.1,20.54,1272.0,5523.0,986374.0
laplace,41,run_5,955760.0,20.0,198.4,21058.09,11122.91,20.54,781.0,9313.0,988722.0
laplace,42,run_1,955760.0,20.0,198.4,17693.1,11219.9,20.54,1031.0,7666.0,985704.0
laplace,42,run_2,955760.0,20.0,198.4,21498.3,11186.7,20.54,681.0,7010.0,989126.0
laplace,42,run_3,955760.0,20.0,198.4,18148.3,11198.7,20.54,1499.0,9625.0,986606.0
laplace,42,run_4,955760.0,20.0,198.4,19918.49,11112.51,20.54,1392.0,8192.0,988183.0
laplace,42,run_5,955760.0,20.0,198.4,20400.7,11222.3,20.54,928.0,10623.0,988311.0
laplace,43,run_1,955760.0,20.0,198.4,18322.49,11107.51,20.54,1719.0,11338.0,986909.0
laplace,43,run_2,955760.0,20.0,198.4,20689.3,11203.7,20.54,1406.0,9024.0,989059.0
laplace,43,run_3,955760.0,20.0,198.4,22011.7,11187.3,20.54,1570.0,14781.0,990529.0
laplace,43,run_4,955760.0,20.0,198.4,22939.1,11210.9,20.54,750.0,7856.0,990660.0
laplace,43,run_5,955760.0,20.0,198.4,18769.29,11103.71,20.54,2764.0,19786.0,988397.0
laplace,44,run_1,955760.0,20.0,198.4,19704.3,11199.7,20.54,943.0,9031.0,987607.0
laplace,44,run_2,955760.0,20.0,198.4,20228.89,11114.11,20.54,3249.0,20837.0,990352.0
laplace,44,run_3,955760.0,20.0,198.4,18901.3,11213.7,20.54,1836.0,13410.0,987711.0
laplace,44,run_4,955760.0,20.0,198.4,20789.1,11219.9,20.54,1436.0,9357.0,989205.0
laplace,44,run_5,955760.0,20.0,198.4,19424.49,11131.51,20.54,1557.0,7713.0,987873.0
laplace,45,run_1,955760.0,20.0,198.4,23486.89,11171.11,20.54,1467.0,12729.0,991885.0
laplace,45,run_2,955760.0,20.0,198.4,22266.9,11216.1,20.54,1269.0,18208.0,990512.0
laplace,45,run_3,955760.0,20.0,198.4,22741.09,11112.91,20.54,1331.0,17113.0,990945.0
laplace,45,run_4,955760.0,20.0,198.4,22768.29,11153.71,20.54,883.0,10987.0,990565.0
laplace,45,run_5,955760.0,20.0,198.4,20633.49,11130.51,20.54,880.0,10788.0,988404.0
laplace,46,run_1,955760.0,20.0,198.4,23917.3,11199.7,20.54,1244.0,8928.0,992121.0
laplace,46,run_2,955760.0,20.0,198.4,15926.7,11219.3,20.54,2224.0,15194.0,985130.0
laplace,46,run_3,955760.0,20.0,198.4,25471.1,11251.9,20.54,638.0,8141.0,993121.0
laplace,46,run_4,955760.0,20.0,198.4,19871.5,11219.5,20.54,1791.0,9649.0,988642.0
laplace,46,run_5,955760.0,20.0,198.4,26324.9,11236.1,20.54,897.0,17420.0,994218.0
laplace,47,run_1,955760.0,20.0,198.4,26934.29,11174.71,20.54,1345.0,11498.0,995214.0
laplace,47,run_2,955760.0,20.0,198.4,23417.09,11144.91,20.54,1087.0,22552.0,991409.0
laplace,47,run_3,955760.0,20.0,198.4,23554.29,11146.71,20.54,816.0,12356.0,991277.0
laplace,47,run_4,955760.0,20.0,198.4,25434.69,11171.31,20.54,1277.0,11949.0,993643.0
laplace,47,run_5,955760.0,20.0,198.4,22421.3,11235.7,20.54,1639.0,11897.0,991056.0
laplace,48,run_1,955760.0,20.0,198.4,26479.5,11257.5,20.54,864.0,9100.0,994361.0
laplace,48,run_2,955760.0,20.0,198.4,26958.49,11154.51,20.54,1017.0,10098.0,994890.0
laplace,48,run_3,955760.0,20.0,198.4,26080.89,11169.11,20.54,1383.0,10115.0,994393.0
laplace,48,run_4,955760.0,20.0,198.4,25188.9,11247.1,20.54,1115.0,18679.0,993311.0
laplace,48,run_5,955760.0,20.0,198.4,23470.1,11244.9,20.54,4118.0,12846.0,994593.0
laplace,49,run_1,955760.0,20.0,198.4,26445.89,11182.11,20.54,1270.0,9225.0,994658.0
laplace,49,run_2,955760.0,20.0,198.4,26118.09,11147.91,20.54,863.0,13059.0,993889.0
laplace,49,run_3,955760.0,20.0,198.4,25821.89,11161.11,20.54,1318.0,11388.0,994061.0
laplace,49,run_4,955760.0,20.0,198.4,20636.49,11151.51,20.54,980.0,16187.0,988528.0
laplace,49,run_5,955760.0,20.0,198.4,20781.89,11150.11,20.54,1692.0,9251.0,989384.0
laplace,5,run_1,955760.0,20.0,198.4,2475.7,10775.3,20.54,379.0,379.0,969390.0
laplace,5,run_2,955760.0,20.0,198.4,2050.09,10697.91,20.54,1379.0,1379.0,969887.0
laplace,5,run_3,955760.0,20.0,198.4,3025.9,10699.1,20.54,535.0,535.0,970020.0
laplace,5,run_4,955760.0,20.0,198.4,2114.69,10697.31,20.54,3887.0,3887.0,972459.0
laplace,5,run_5,955760.0,20.0,198.4,1957.09,10697.91,20.54,753.0,753.0,969168.0
laplace,50,run_1,955760.0,20.0,198.4,23612.09,11141.91,20.54,1718.0,9879.0,992232.0
laplace,50,run_2,955760.0,20.0,198.4,21988.1,11249.9,20.54,1257.0,10049.0,990255.0
laplace,50,run_3,955760.0,20.0,198.4,26603.1,11245.9,20.54,817.0,11756.0,994426.0
laplace,50,run_4,955760.0,20.0,198.4,21876.9,11242.1,20.54,2222.0,16940.0,991101.0
laplace,50,run_5,955760.0,20.0,198.4,24808.5,11240.5,20.54,892.0,10749.0,992701.0
laplace,51,run_1,955760.0,20.0,198.4,22930.29,11161.71,20.54,1925.0,11056.0,991777.0
laplace,51,run_2,955760.0,20.0,198.4,27033.3,11250.7,20.54,1340.0,9116.0,995384.0
laplace,51,run_3,955760.0,20.0,198.4,25555.1,11246.9,20.54,1142.0,14151.0,993704.0
laplace,51,run_4,955760.0,20.0,198.4,24377.49,11188.51,20.54,2062.0,11313.0,993388.0
laplace,51,run_5,955760.0,20.0,198.4,25771.1,11238.9,20.54,1982.0,10496.0,994752.0
laplace,52,run_1,955760.0,20.0,198.4,28089.3,11257.7,20.54,1456.0,10036.0,996563.0
laplace,52,run_2,955760.0,20.0,198.4,24880.69,11165.31,20.54,1384.0,11473.0,993190.0
laplace,52,run_3,955760.0,20.0,198.4,27074.5,11254.5,20.54,2687.0,24174.0,996776.0
laplace,52,run_4,955760.0,20.0,198.4,28957.69,11179.31,20.54,2749.0,24732.0,998646.0
laplace,52,run_5,955760.0,20.0,198.4,22175.49,11149.51,20.54,993.0,12180.0,990078.0
laplace,53,run_1,955760.0,20.0,198.4,22614.69,11155.31,20.54,1035.0,10466.0,990565.0
laplace,53,run_2,955760.0,20.0,198.4,28597.9,11261.1,20.54,768.0,11687.0,996387.0
laplace,53,run_3,955760.0,20.0,198.4,26911.3,11232.7,20.54,3491.0,24868.0,997395.0
laplace,53,run_4,955760.0,20.0,198.4,28601.7,11256.3,20.54,3376.0,28010.0,998994.0
laplace,53,run_5,955760.0,20.0,198.4,25263.49,11179.51,20.54,951.0,13468.0,993154.0
laplace,54,run_1,955760.0,20.0,198.4,29257.5,11256.5,20.54,1551.0,10087.0,997825.0
laplace,54,run_2,955760.0,20.0,198.4,25525.69,11181.31,20.54,949.0,12538.0,993416.0
laplace,54,run_3,955760.0,20.0,198.4,28480.5,11290.5,20.54,1782.0,15317.0,997313.0
laplace,54,run_4,955760.0,20.0,198.4,28198.5,11272.5,20.54,1114.0,17287.0,996345.0
laplace,54,run_5,955760.0,20.0,198.4,29312.5,11267.5,20.54,1252.0,17164.0,997592.0
laplace,55,run_1,955760.0,20.0,198.4,28982.3,11261.7,20.54,1985.0,13069.0,997989.0
laplace,55,run_2,955760.0,20.0,198.4,29356.9,11273.1,20.54,908.0,12125.0,997298.0
laplace,55,run_3,955760.0,20.0,198.4,28364.3,11266.7,20.54,783.0,12499.0,996174.0
laplace,55,run_4,955760.0,20.0,198.4,29386.3,11276.7,20.54,1271.0,24973.0,997694.0
laplace,55,run_5,955760.0,20.0,198.4,27875.1,11277.9,20.54,964.0,14338.0,995877.0
laplace,56,run_1,955760.0,20.0,198.4,27626.5,11277.5,20.54,1453.0,10498.0,996117.0
laplace,56,run_2,955760.0,20.0,198.4,29463.69,11191.31,20.54,867.0,11479.0,997282.0
laplace,56,run_3,955760.0,20.0,198.4,29994.5,11286.5,20.54,1946.0,16381.0,998987.0
laplace,56,run_4,955760.0,20.0,198.4,30081.7,11269.3,20.54,1976.0,14677.0,999087.0
laplace,56,run_5,955760.0,20.0,198.4,28743.09,11176.91,20.54,2027.0,15823.0,997707.0
laplace,57,run_1,955760.0,20.0,198.4,29246.3,11306.7,20.54,1452.0,13924.0,997765.0
laplace,57,run_2,955760.0,20.0,198.4,27856.5,11274.5,20.54,1670.0,10490.0,996561.0
laplace,57,run_3,955760.0,20.0,198.4,27490.9,11276.1,20.54,1433.0,15188.0,995960.0
laplace,57,run_4,955760.0,20.0,198.4,28015.7,11272.3,20.54,1194.0,12839.0,996242.0
