,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_2,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
66,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0.037037037037037035,-1119.69,1
67,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0.07407407407407407,-1133.7499999999995,1
68,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0.0,-1122.0000000000005,1
69,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0.037037037037037035,-1120.070000000001,4
70,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0.037037037037037035,-1120.0699999999995,16
71,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0.07407407407407407,-1065.0900000000001,1
72,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0.037037037037037035,-1149.52,1
73,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0.07407407407407407,-1064.7199999999998,4
74,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0.07407407407407407,-1106.7300000000007,2
75,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0.07407407407407407,-1106.7299999999993,1
76,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0.07407407407407407,-1130.9099999999996,2
77,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0.07407407407407407,-1123.1400000000003,1
78,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0.0,-1121.1600000000008,1
79,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0.07407407407407407,-1076.36,2
80,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0.07407407407407407,-1130.9100000000003,2
81,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0.07407407407407407,-1130.9099999999996,4
82,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0.037037037037037035,-1103.9600000000003,1
83,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0.07407407407407407,-1130.9099999999996,2
