,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_2,x_20,x_21,x_22,x_23,x_24,x_25,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
167,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0.0,-295.69,4
168,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0.0,-295.53,7
169,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0.0,-295.53000000000003,2
170,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.0,-295.42999999999984,4
171,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0.0,-295.43,11
172,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0.0,-295.38999999999993,1
173,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0.038461538461538464,-327.60999999999984,1
174,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0.038461538461538464,-327.61,2
175,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0.038461538461538464,-327.61,2
176,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0.038461538461538464,-327.60999999999984,1
177,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0.0,-295.32000000000005,1
178,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0.038461538461538464,-286.56000000000006,3
179,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,-295.2099999999999,2
180,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0.0,-295.21000000000004,10
181,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0.038461538461538464,-310.1699999999999,3
182,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0.038461538461538464,-315.2799999999999,1
183,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0.038461538461538464,-321.70000000000005,1
184,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0.038461538461538464,-331.19999999999993,1
185,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0.038461538461538464,-338.03999999999996,2
186,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0.038461538461538464,-338.03999999999974,2
187,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0.0,-294.42999999999995,8
188,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0.0,-294.4300000000001,1
189,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0.038461538461538464,-313.02,1
190,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0.0,-294.2999999999999,42
191,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0.0,-294.2999999999999,2
192,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0.038461538461538464,-321.0299999999999,1
193,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0.0,-294.1699999999999,1
